Customer_Industry,Region_Customer,Product_Category,Sales_Channel,Lead_Source,Year,Quarter,Revenue_EUR_Actual,Revenue_EUR_Forecast
Automotive,North,MPLS,LargeEnterprise,Website,2020,Q1,25932597.523489114,25338940.794983026
Automotive,North,MPLS,LargeEnterprise,Trade Show,2020,Q1,26854476.2235892,25377540.942626797
Automotive,North,MPLS,LargeEnterprise,Mail,2020,Q1,26504523.640231583,26651478.157607246
Automotive,North,MPLS,MidMarket,Website,2020,Q1,19718390.181036446,19239355.22419966
Automotive,North,MPLS,MidMarket,Trade Show,2020,Q1,19187222.36853092,19072923.12207549
Automotive,North,MPLS,MidMarket,Mail,2020,Q1,19187193.42440344,19284577.6878838
Automotive,North,MPLS,SME,Website,2020,Q1,19069700.33460184,19511320.184777033
Automotive,North,MPLS,SME,Trade Show,2020,Q1,20039411.374929924,19876679.524520088
Automotive,North,MPLS,SME,Mail,2020,Q1,19721338.01409185,19749202.63186145
Automotive,North,SD-WAN,LargeEnterprise,Website,2020,Q1,6616562.364451752,6428381.8203575015
Automotive,North,SD-WAN,LargeEnterprise,Trade Show,2020,Q1,6341567.131051654,6534641.512573567
Automotive,North,SD-WAN,LargeEnterprise,Mail,2020,Q1,6721297.274198132,6703818.9754927615
Automotive,North,SD-WAN,MidMarket,Website,2020,Q1,4999732.792240126,4994502.333095127
Automotive,North,SD-WAN,MidMarket,Trade Show,2020,Q1,4813701.733203483,4846956.935449538
Automotive,North,SD-WAN,MidMarket,Mail,2020,Q1,4804547.4901621295,5044679.368406709
Automotive,North,SD-WAN,SME,Website,2020,Q1,4805021.35295603,4962586.120130539
Automotive,North,SD-WAN,SME,Trade Show,2020,Q1,4841272.672887862,4768734.806700035
Automotive,North,SD-WAN,SME,Mail,2020,Q1,4907426.929489671,4760548.213986591
Automotive,North,MS365,LargeEnterprise,Website,2020,Q1,9759167.01118527,9601044.769406017
Automotive,North,MS365,LargeEnterprise,Trade Show,2020,Q1,9674737.484118825,9936713.52083009
