Customer_Industry,Region_Customer,Product_Category,Sales_Channel,Lead_Source,Year,Quarter,Lead_Value,Lead_Conversion_Probability,Lead_Weighted_Value
Automotive,North,MPLS,LargeEnterprise,Website,2020,Q1,25338940.794983026,0.36206771171652075,9174412.310959902
Automotive,North,MPLS,LargeEnterprise,Trade Show,2020,Q1,25377540.942626797,0.9036714480253212,22932959.170945432
Automotive,North,MPLS,LargeEnterprise,Mail,2020,Q1,26651478.157607246,0.6980743053027207,18604712.100162312
Automotive,North,MPLS,MidMarket,Website,2020,Q1,19239355.22419966,0.5727389751452144,11019128.593562841
Automotive,North,MPLS,MidMarket,Trade Show,2020,Q1,19072923.12207549,0.15665752201589034,2987916.873903925
Automotive,North,MPLS,MidMarket,Mail,2020,Q1,19284577.6878838,0.15663484911603048,3020636.916408047
Automotive,North,MPLS,SME,Website,2020,Q1,19511320.184777033,0.06459859543810749,1260403.8790797922
Automotive,North,MPLS,SME,Trade Show,2020,Q1,19876679.524520088,0.824205577028439,16382470.116916437
Automotive,North,MPLS,SME,Mail,2020,Q1,19749202.63186145,0.5750481110386163,11356741.667970795
Automotive,North,SD-WAN,LargeEnterprise,Website,2020,Q1,6428381.8203575015,0.6755882231282827,4342939.05160548
Automotive,North,SD-WAN,LargeEnterprise,Trade Show,2020,Q1,6534641.512573567,0.029349424638054296,191787.96860997906
Automotive,North,SD-WAN,LargeEnterprise,Mail,2020,Q1,6703818.9754927615,0.9217152610322746,6179012.256909426
Automotive,North,SD-WAN,MidMarket,Website,2020,Q1,4994502.333095127,0.7924960823523964,3958123.5322777918
Automotive,North,SD-WAN,MidMarket,Trade Show,2020,Q1,4846956.935449538,0.20959876403757957,1015916.1830135975
Automotive,North,SD-WAN,MidMarket,Mail,2020,Q1,5044679.368406709,0.18091546917467458,912660.5347711009
Automotive,North,SD-WAN,SME,Website,2020,Q1,4962586.120130539,0.1824002392622278,905176.895671221
Automotive,North,SD-WAN,SME,Trade Show,2020,Q1,4768734.806700035,0.2959877083819655,1411486.8873164584
Automotive,North,SD-WAN,SME,Mail,2020,Q1,4760548.213986591,0.5032710457343035,2395846.0779216024
Automotive,North,MS365,LargeEnterprise,Website,2020,Q1,9601044.769406017,0.4160283175235888,3994306.501884638
Automotive,North,MS365,LargeEnterprise,Trade Show,2020,Q1,9936713.52083009,0.2837553917861594,2819596.0381699693
Automotive,North,MS365,LargeEnterprise,Mail,2020,Q1,9610243.355505457,0.5851417210390367,5623354.336644431
Automotive,North,MS365,MidMarket,Website,2020,Q1,7355169.046143975,0.14112422901291932,1037992.5608967578
Automotive,North,MS365,MidMarket,Trade Show,2020,Q1,7166967.054081374,0.28461596962310504,2039833.277354219
Automotive,North,MS365,MidMarket,Mail,2020,Q1,7539398.771023587,0.3543801326960702,2671813.1369239273
Automotive,North,MS365,SME,Website,2020,Q1,7279782.276112605,0.43870578516401376,3193682.5992650515
