Customer_Industry,Region_Customer,Product_Category,Sales_Channel,Lead_Source,Year,Quarter,OrderEntry_EUR_Actual,OrderEntry_EUR_Forecast,LostOrderEntry_EUR_Actual
Automotive,North,MPLS,LargeEnterprise,Website,2020,Q1,25932597.523489114,25338940.794983026,20000000.0
Automotive,North,MPLS,LargeEnterprise,Trade Show,2020,Q1,26854476.2235892,25377540.942626797,20000000.0
Automotive,North,MPLS,LargeEnterprise,Mail,2020,Q1,26504523.640231583,26651478.157607246,20000000.0
Automotive,North,MPLS,MidMarket,Website,2020,Q1,19718390.181036446,19239355.22419966,20000000.0
Automotive,North,MPLS,MidMarket,Trade Show,2020,Q1,19187222.36853092,19072923.12207549,20000000.0
Automotive,North,MPLS,MidMarket,Mail,2020,Q1,19187193.42440344,19284577.6878838,20000000.0
Automotive,North,MPLS,SME,Website,2020,Q1,19069700.33460184,19511320.184777033,10000000.0
Automotive,North,MPLS,SME,Trade Show,2020,Q1,20039411.374929924,19876679.524520088,10000000.0
Automotive,North,MPLS,SME,Mail,2020,Q1,19721338.01409185,19749202.63186145,10000000.0
Automotive,North,SD-WAN,LargeEnterprise,Website,2020,Q1,6616562.364451752,6428381.8203575015,20000000.0
Automotive,North,SD-WAN,LargeEnterprise,Trade Show,2020,Q1,6341567.131051654,6534641.512573567,20000000.0
Automotive,North,SD-WAN,LargeEnterprise,Mail,2020,Q1,6721297.274198132,6703818.9754927615,20000000.0
Automotive,North,SD-WAN,MidMarket,Website,2020,Q1,4999732.792240126,4994502.333095127,20000000.0
Automotive,North,SD-WAN,MidMarket,Trade Show,2020,Q1,4813701.733203483,4846956.935449538,20000000.0
Automotive,North,SD-WAN,MidMarket,Mail,2020,Q1,4804547.4901621295,5044679.368406709,20000000.0
Automotive,North,SD-WAN,SME,Website,2020,Q1,4805021.35295603,4962586.120130539,10000000.0
Automotive,North,SD-WAN,SME,Trade Show,2020,Q1,4841272.672887862,4768734.806700035,10000000.0
Automotive,North,SD-WAN,SME,Mail,2020,Q1,4907426.929489671,4760548.213986591,10000000.0
Automotive,North,MS365,LargeEnterprise,Website,2020,Q1,9759167.01118527,9601044.769406017,6666666.666666667
Automotive,North,MS365,LargeEnterprise,Trade Show,2020,Q1,9674737.484118825,9936713.52083009,6666666.666666667
Automotive,North,MS365,LargeEnterprise,Mail,2020,Q1,9867111.736833427,9610243.355505457,6666666.666666667
Automotive,North,MS365,MidMarket,Website,2020,Q1,7187772.2372934185,7355169.046143975,6666666.666666667
Automotive,North,MS365,MidMarket,Trade Show,2020,Q1,7256465.091840847,7166967.054081374,6666666.666666667
Automotive,North,MS365,MidMarket,Mail,2020,Q1,7289862.829482161,7539398.771023587,6666666.666666667
Automotive,North,MS365,SME,Website,2020,Q1,7330231.492897666,7279782.276112605,3333333.3333333335
Automotive,North,MS365,SME,Trade Show,2020,Q1,7478329.1826268565,7533659.4254522845,3333333.3333333335
Automotive,North,MS365,SME,Mail,2020,Q1,7214853.201971262,7550194.038859745,3333333.3333333335
Automotive,North,Google Workspaces,LargeEnterprise,Website,2020,Q1,6539027.108698778,6335784.792258806,3333333.3333333335
Automotive,North,Google Workspaces,LargeEnterprise,Trade Show,2020,Q1,6570299.160878151,6518987.408212827,3333333.3333333335
Automotive,North,Google Workspaces,LargeEnterprise,Mail,2020,Q1,6351913.498421333,6343195.75561609,3333333.3333333335
Automotive,North,Google Workspaces,MidMarket,Website,2020,Q1,4932263.455570431,5022607.829890871,3333333.3333333335
Automotive,North,Google Workspaces,MidMarket,Trade Show,2020,Q1,4801157.237106187,4905522.263420372,3333333.3333333335
Automotive,North,Google Workspaces,MidMarket,Mail,2020,Q1,4769515.477895583,4772483.203809549,3333333.3333333335
Automotive,North,Google Workspaces,SME,Website,2020,Q1,5034665.661176,4783083.01848297,1666666.6666666667
Automotive,North,Google Workspaces,SME,Trade Show,2020,Q1,5039689.609922367,4865052.707347821,1666666.6666666667
Automotive,North,Google Workspaces,SME,Mail,2020,Q1,4992519.204434938,5032070.257861867,1666666.6666666667
Automotive,North,Hyperscaler,LargeEnterprise,Website,2020,Q1,9682768.261504022,9915745.490940848,10000000.0
Automotive,North,Hyperscaler,LargeEnterprise,Trade Show,2020,Q1,9558603.26840383,10020571.31971348,10000000.0
Automotive,North,Hyperscaler,LargeEnterprise,Mail,2020,Q1,9910539.815907294,9719873.987803988,10000000.0
Automotive,North,Hyperscaler,MidMarket,Website,2020,Q1,7323068.622182821,7144446.164797499,10000000.0
Automotive,North,Hyperscaler,MidMarket,Trade Show,2020,Q1,7179917.205680151,7563442.936741986,10000000.0
Automotive,North,Hyperscaler,MidMarket,Mail,2020,Q1,7347829.609550072,7132727.845798066,10000000.0
Automotive,North,Hyperscaler,SME,Website,2020,Q1,7140474.834501848,7551443.24388649,5000000.0
Automotive,North,Hyperscaler,SME,Trade Show,2020,Q1,7534194.180935453,7290904.840732115,5000000.0
Automotive,North,Hyperscaler,SME,Mail,2020,Q1,7241450.991720008,7129540.6822598465,5000000.0
Automotive,North,OTC,LargeEnterprise,Website,2020,Q1,6598342.247074927,6608996.226023138,6666666.666666667
Automotive,North,OTC,LargeEnterprise,Trade Show,2020,Q1,6458017.763769098,6725549.454945875,6666666.666666667
